"age","months_as_customer","policy_annual_premium","policy_deductable","injury_claim","property_claim","vehicle_claim","number_of_vehicles_involved"
39,40,1248.25,1000,1460,1460,5840,1
42,284,1338.54,500,8560,17120,68480,1
40,59,782.23,2000,5730,11460,34380,3
31,39,1366.9,2000,10540,10540,31620,3
34,147,1275.81,1000,15540,15540,69930,1
37,156,1090.65,500,5340,5340,42720,4
31,123,1326,500,12020,12020,48080,1
43,231,972.47,2000,7710,15420,53970,3
39,247,806.31,500,600,0,2700,1
35,194,1416.24,500,1080,540,4320,1
27,119,1097.64,2000,7080,21240,35400,2
43,259,947.75,500,1280,640,5760,1
31,107,1018.73,2000,14420,21630,57680,3
44,48,1400.74,2000,17460,17460,52380,3
40,267,1155.53,500,1260,630,3780,1
47,286,1386.93,500,13160,6580,46060,3
34,175,915.29,500,4080,4080,28560,1
29,111,1239.55,500,4800,9600,38400,1
37,151,1366.42,500,5910,5910,47280,3
37,156,1086.48,1000,14080,7040,56320,3
36,165,1247.87,2000,4570,4570,36560,3
41,253,1312.75,2000,7340,14680,58720,3
26,10,765.64,2000,2850,5700,22800,3
33,158,1327.41,2000,3500,7000,24500,1
59,436,1338.55,1000,13600,6800,47600,3
30,91,1316.63,2000,13000,13000,58500,3
42,256,1286.44,1000,7550,15100,52850,1
46,274,1372.18,1000,15100,15100,60400,3
45,275,1447.77,2000,5360,10720,48240,3
33,1,903.32,500,6340,3170,22190,3
30,85,1454.42,1000,12380,12380,49520,1
37,233,1603.42,2000,13420,6710,60390,1
30,142,1616.58,2000,6360,12720,44520,3
44,266,1611.83,500,3280,3280,26240,1
50,350,889.13,500,9820,4910,29460,3
26,97,1252.08,1000,10080,5040,35280,2
55,399,995.56,2000,17680,8840,61880,3
49,305,1347.92,2000,12100,6050,48400,3
47,276,1724.09,1000,5980,11960,47840,3
40,257,1379.93,500,9420,4710,37680,3
31,78,1554.64,1000,5060,10120,40480,1
28,129,1377.94,1000,9920,4960,29760,1
46,283,1313.33,2000,7060,14120,56480,3
25,85,1259.02,500,940,940,3760,1
26,101,1371.88,1000,580,580,2030,1
30,96,1399.27,500,0,6680,46760,1
31,121,1061.98,1000,7250,7250,50750,1
39,176,1365.46,500,4920,4920,34440,3
37,159,894.4,1000,7810,7810,54670,1
30,120,956.69,500,8710,8710,69680,1
35,212,1123.89,2000,4580,4580,41220,3
45,290,1085.03,500,12960,6480,45360,3
42,299,1437.33,2000,12800,12800,44800,1
26,66,988.29,1000,0,10520,47340,1
47,334,1238.89,500,960,960,4320,1
38,216,1384.64,1000,16650,11100,38850,1
28,86,1595.07,2000,11820,11820,47280,1
56,429,1127.89,1000,6580,6580,26320,1
43,257,929.7,2000,10540,5270,47430,1
34,15,1829.63,1000,12300,6150,49200,3
39,230,904.7,1000,14840,14840,44520,1
43,250,1243.84,1000,12980,12980,38940,1
44,270,1030.95,2000,7180,3590,25130,3
26,65,1285.03,500,5220,10440,36540,1
57,475,1216.56,500,6500,13000,58500,1
27,77,966.26,2000,6720,6720,53760,3
43,256,1203.17,500,11500,5750,46000,1
37,229,1212.12,2000,11460,5730,51570,3
28,110,1573.93,1000,10840,10840,43360,3
33,177,1609.67,1000,20700,13800,48300,1
44,292,1097.57,500,6170,6170,49360,1
61,451,1618.65,2000,15620,7810,54670,3
24,61,922.67,500,9360,9360,46800,3
30,150,1342.02,1000,450,450,3600,1
41,283,1195.01,500,0,6100,36600,3
46,291,994.74,1000,620,620,4340,1
31,162,1050.24,1000,360,720,2520,1
36,154,1313.51,2000,280,280,2240,1
47,289,1102.29,2000,6000,6000,42000,1
19,10,1185.78,1000,4450,8900,35600,1
47,309,1527.95,500,15560,15560,46680,4
57,396,1366.39,1000,11680,5840,35040,3
41,273,1403.9,1000,4010,8020,32080,2
30,129,927.23,2000,13520,6760,54080,1
31,140,1554.86,2000,680,680,4760,1
53,419,736.07,2000,5190,10380,46710,4
44,315,974.16,1000,4860,4860,17010,3
29,72,973.8,500,6620,6620,52960,1
26,32,1260.32,2000,9100,4550,31850,1
41,230,1464.03,1000,4420,4420,44200,3
32,157,617.11,2000,10160,5080,35560,3
41,265,1724.46,2000,4420,4420,35360,3
34,47,1161.31,500,11440,5720,45760,1
29,113,1091.73,2000,5550,5550,38850,3
46,289,1209.07,2000,6270,6270,43890,1
41,254,1241.04,2000,18220,18220,63770,1
30,115,1757.21,500,5460,5460,38220,3
38,236,802.24,1000,16710,5570,44560,1
21,7,1342.72,1000,6940,6940,48580,1
36,208,1209.41,2000,11420,11420,39970,3
33,126,1141.71,1000,6770,6770,40620,1
35,48,1090.03,500,9680,4840,33880,1
48,297,1464.73,1000,5720,5720,40040,3
36,160,1118.58,1000,5170,10340,36190,3
58,406,1117.04,2000,10920,5460,49140,3
31,157,1257.83,500,4770,9540,33390,4
31,146,1082.72,2000,580,580,4060,1
57,409,1191.8,1000,6110,12220,54990,1
46,252,1242.02,1000,14980,7490,52430,1
27,6,1075.71,500,580,290,2320,1
33,103,969.88,1000,12820,6410,57690,1
53,369,1459.93,2000,7090,14180,56720,2
46,261,1245.61,1000,9180,9180,41310,1
33,159,1462.76,2000,8160,4080,32640,3
51,344,1398.46,2000,7530,15060,60240,1
60,437,1269.64,1000,7680,15360,61440,1
30,65,1455.65,500,15960,7980,55860,3
41,280,1140.31,2000,9640,9640,33740,3
45,269,1330.46,500,2200,4400,17600,3
40,275,1190.6,2000,7860,7860,27510,1
45,265,972.5,500,290,580,2320,1
43,283,1161.91,2000,1300,650,3900,1
29,84,1117.17,1000,620,1240,4960,1
44,247,1101.51,2000,11580,11580,46320,3
29,56,1523.17,1000,7880,15760,70920,3
39,210,984.45,1000,780,780,6240,1
32,108,1257,2000,5570,11140,44560,1
49,328,1434.51,500,8930,8930,53580,1
37,186,1628,2000,11120,5560,38920,1
44,277,1412.31,500,1000,500,3500,1
33,138,1362.87,500,14740,14740,66330,1
41,208,1134.68,1000,6930,13860,48510,1
37,147,1306.78,1000,13520,20280,47320,1
21,8,1021.9,500,14040,14040,63180,1
48,297,1538.6,1000,6060,12120,42420,1
31,150,1354.5,1000,6480,12960,45360,3
34,4,1282.93,500,6080,12160,48640,4
35,210,1346.27,1000,5820,5820,46560,1
31,91,1338.4,1000,6730,6730,47110,1
36,167,949.44,1000,8710,8710,52260,3
58,467,977.4,2000,5570,11140,38990,1
47,264,1181.46,2000,5670,5670,51030,4
45,270,1187.53,500,9880,0,44460,3
48,310,845.16,1000,6130,6130,42910,1
34,143,1442.27,500,11700,5850,40950,1
32,146,1276.43,2000,6660,6660,46620,1
28,102,1075.41,500,7340,7340,58720,1
23,61,1111.72,500,4650,4650,32550,1
44,255,814.96,2000,640,1280,4480,1
40,211,1575.86,1000,580,290,2320,1
29,61,1115.27,1000,590,590,4720,1
31,108,1175.7,2000,6370,6370,44590,1
50,303,793.15,500,13660,13660,54640,3
33,152,942.51,500,6400,19200,44800,1
34,120,1056.71,1000,580,580,2610,1
36,144,1255.68,2000,740,1480,5180,1
52,414,1335.13,500,6090,6090,42630,1
37,163,1178.95,500,4940,9880,34580,1
53,352,1793.16,500,12500,6250,50000,1
32,27,1008.38,500,12300,6150,43050,1
39,239,1396.83,500,6990,13980,55920,4
32,33,1402.78,500,6230,12460,37380,1
30,88,1437.88,1000,14000,0,42000,1
33,101,1313.64,1000,780,390,3120,1
37,20,1482.14,500,6750,6750,47250,3
30,126,1171.75,2000,4430,4430,39870,1
43,264,1353.33,2000,17300,17300,60550,3
24,78,1175.51,500,680,680,6120,1
28,123,1836.02,2000,13300,6650,59850,1
51,347,1480.79,500,8630,17260,77670,1
38,163,1453.92,2000,15900,7950,55650,1
44,271,1340.71,500,6930,13860,55440,1
54,410,714.03,2000,9920,9920,39680,1
57,448,1376.16,2000,5970,5970,35820,3
41,218,914.22,500,15380,7690,61520,3
38,43,1601.47,1000,6850,6850,47950,3
33,33,1096.79,1000,8140,8140,65120,1
34,126,1078.22,2000,10620,5310,42480,3
56,411,1595.28,1000,3510,3510,31590,3
37,225,1217.84,1000,9600,9600,38400,3
35,35,1117.42,2000,5910,11820,35460,3
57,460,1567.37,2000,5830,11660,40810,1
38,195,1294.93,2000,7180,0,57440,3
51,360,1152.12,1000,15080,15080,60320,3
49,300,1441.21,1000,1180,1180,4720,1
42,245,1575.74,1000,590,1180,4720,1
36,146,1233.96,2000,5590,5590,44720,3
29,67,1861.43,1000,6380,6380,51040,1
56,380,1570.86,1000,7270,7270,43620,1
53,389,791.47,2000,630,1260,4410,1
46,317,1012.78,1000,19020,19020,66570,1
44,264,1047.06,500,12700,6350,50800,3
21,20,1390.29,1000,12580,6290,44030,1
30,116,951.46,500,6630,6630,46410,3
40,222,1226.78,1000,16300,8150,57050,2
56,439,1280.9,500,15000,5000,30000,1
28,66,1472.77,2000,8780,8780,30730,1
29,128,1878.44,1000,5370,5370,48330,1
24,69,1418.5,500,12660,6330,44310,3
46,294,1532.8,500,11960,11960,41860,1
29,19,1304.35,500,11600,11600,52200,3
33,191,1551.61,2000,250,250,1750,1
39,4,1326.98,1000,4510,9020,40590,3
49,298,862.92,500,11580,11580,46320,3
43,231,1331.69,2000,10300,10300,46350,1
47,338,1486.04,2000,12820,6410,44870,3
46,261,870.55,1000,13380,13380,53520,1
44,321,1344.56,2000,520,0,4160,1
32,0,1377.04,1000,6620,6620,26480,4
58,405,1237.88,500,5780,5780,52020,1
49,304,1525.86,1000,13340,6670,53360,1
29,1,854.58,500,7890,23670,55230,1
39,26,770.76,1000,9960,4980,34860,1
38,202,1132.74,2000,7040,14080,56320,1
48,289,1173.37,500,8580,0,34320,1
26,61,1188.28,2000,11960,5980,35880,2
46,334,876.88,1000,12740,6370,38220,1
24,12,1143.95,1000,5930,5930,41510,3
29,86,1409.06,2000,9680,14520,38720,1
24,83,1070.63,1000,6160,12320,43120,3
30,126,916.13,2000,6180,12360,55620,3
38,209,1191.5,500,8900,8900,62300,1
48,283,1474.66,1000,820,820,4920,1
34,194,1193.45,1000,11760,5880,41160,1
38,184,1437.53,1000,11940,5970,35820,3
60,479,1304.83,2000,5050,10100,45450,1
48,284,1168.8,1000,6500,3250,26000,1
27,65,1164.97,1000,3570,7140,32130,1
39,222,1232.72,1000,14660,14660,58640,3
41,196,1800.76,2000,4780,4780,38240,3
43,253,1187.01,500,640,640,2560,1
43,280,1559.34,1000,14000,7000,56000,1
26,5,1137.02,2000,16020,16020,56070,1
42,220,1281.72,1000,4340,4340,39060,4
30,85,796.35,1000,5360,10720,42880,3
46,266,1270.02,500,480,240,1440,1
26,41,1383.13,1000,530,1060,5300,1
45,316,1290.74,2000,7170,14340,57360,3
47,285,1216.68,1000,300,300,2100,1
54,379,1251.16,500,6330,6330,63300,1
34,15,1586.41,2000,6870,13740,54960,1
48,354,1526.11,2000,15040,15040,60160,1
53,342,1028.44,1000,14720,7360,58880,1
38,169,1555.94,1000,6590,13180,59310,3
49,339,1570.77,2000,1240,620,4960,1
42,259,1170.53,2000,5690,11380,45520,3
23,65,1099.95,1000,6550,6550,39300,1
46,254,1472.43,2000,5780,11560,46240,3
55,440,1275.62,500,6140,6140,49120,3
63,478,1292.3,1000,940,470,3290,1
44,230,1009.37,2000,13480,13480,47180,1
30,138,1093.07,500,6930,13860,62370,1
41,239,1325.44,1000,1660,830,8300,1
31,93,1017.18,2000,8740,8740,30590,3
25,37,1221.17,1000,5670,11340,34020,3
40,254,1927.87,500,0,5410,37870,1
29,131,978.27,1000,15280,7640,53480,1
43,230,1221.14,2000,13720,13720,48020,1
50,313,1255.62,2000,13800,6900,48300,3
38,210,999.52,500,1440,720,6480,1
29,101,1380.89,500,12220,12220,42770,3
37,153,1010.77,500,4250,4250,34000,3
53,337,1205.86,500,14400,7200,64800,1
51,360,1526.61,1000,840,840,2940,1
53,428,1496.44,1000,630,1260,5040,1
40,204,1256.2,500,8340,8340,25020,3
51,364,1268.35,500,14060,14060,49210,1
35,185,1421.59,2000,900,450,3600,1
26,63,1500.04,500,860,860,3440,1
35,210,1433.24,500,2730,2730,19110,3
38,194,1231.25,2000,4880,9760,39040,3
49,294,1135.43,500,3900,3900,35100,3
41,272,945.73,2000,16820,8410,58870,1
27,27,1118.76,2000,6840,6840,47880,1
39,251,1231.98,2000,5530,5530,33180,1
33,180,1005.47,2000,11540,5770,40390,4
50,392,1108.97,2000,16620,16620,74790,1
30,143,1392.39,500,10860,5430,38010,1
54,371,1317.97,2000,5380,5380,21520,3
42,292,1588.22,1000,16920,8460,59220,3
35,165,900.02,500,6970,6970,55760,1
33,158,1744.64,1000,3640,7280,25480,3
39,241,1260.56,1000,4690,4690,28140,3
33,103,1021.14,2000,14380,14380,50330,3
54,402,1285.09,2000,7530,15060,45180,1
32,102,1537.07,500,9480,4740,33180,1
40,182,1022.42,1000,7110,14220,49770,1
46,282,1558.86,2000,13880,6940,48580,1
39,222,1757.87,500,5000,10000,40000,3
52,415,973.5,1000,7860,7860,35370,2
34,51,1430.8,500,6420,19260,38520,1
45,255,1192.27,500,12240,12240,42840,1
31,143,1163.83,500,6920,13840,55360,4
28,130,1003.15,1000,13080,13080,58860,2
41,242,1153.54,2000,12380,12380,43330,3
27,96,1631.1,1000,670,670,4690,1
35,180,1252.48,1000,1020,510,3570,1
30,150,1677.26,1000,510,510,3570,1
59,463,979.73,1000,7240,14480,50680,2
64,472,989.24,500,14180,7090,49630,1
25,75,1389.86,1000,6510,6510,52080,2
40,193,1233.85,500,0,14280,49980,3
43,43,1320.39,500,7270,21810,50890,1
41,253,1435.09,1000,6290,6290,44030,1
30,152,1448.54,500,7690,7690,69210,1
38,160,1733.56,500,7420,14840,44520,3
36,56,1533.07,500,0,6500,52000,1
41,286,1106.77,500,500,500,4000,1
29,3,995.7,500,500,1000,3500,1
41,286,1298.85,1000,6050,12100,36300,3
38,239,1276.73,1000,6880,6880,48160,3
29,64,1202.28,2000,4370,4370,34960,1
31,98,671.92,500,7120,7120,49840,1
35,16,1358.03,1000,10000,10000,35000,1
27,70,1008.79,1000,0,550,3850,1
27,75,1141.1,1000,5970,11940,53730,2
44,246,1397,1000,6860,6860,48020,1
27,110,1664.66,1000,5750,5750,46000,1
39,236,1151.39,1000,870,1740,6090,1
46,267,1546.01,2000,15420,7710,53970,4
57,463,1063.67,500,6600,6600,46200,1
46,303,709.14,1000,9980,4990,39920,3
30,137,1039.55,500,6730,13460,53840,3
42,56,1339.39,500,11180,11180,39130,1
27,75,1202.75,1000,6630,13260,59670,3
33,131,1081.17,2000,490,490,3920,1
34,153,991.39,500,14140,14140,49490,3
43,255,984.02,500,7470,14940,52290,2
26,103,1354.83,500,4060,4060,32480,2
28,97,830.31,1000,10060,10060,25150,1
36,214,987.42,2000,4280,8560,34240,3
57,438,1119.29,500,4070,4070,32560,1
27,87,1048.39,500,6300,3150,25200,1
28,27,1074.47,1000,400,400,2400,1
42,206,1230.76,1000,7180,14360,57440,1
31,127,1255.02,500,560,1120,4480,1
